date,open,high,close,low,volume,amount
2016-02-19,3.5,3.59,3.52,3.5,13831958.0,109949480.0
2016-02-18,3.6,3.65,3.54,3.53,19581028.0,157740848.0
2016-02-17,3.78,3.83,3.66,3.61,36695940.0,305894208.0
2016-02-16,3.37,3.59,3.59,3.37,23495776.0,188535584.0
2016-02-15,3.06,3.27,3.27,3.01,9210770.0,66105644.0
2016-02-05,3.25,3.29,3.16,3.16,4732200.0,34109436.0
2016-02-04,3.18,3.29,3.24,3.16,8905960.0,64614624.0
2016-02-03,3.05,3.2,3.16,3.01,6550597.0,45493568.0
2016-02-02,3.01,3.13,3.11,3.01,5873999.0,40766956.0
2016-02-01,2.99,3.05,3.01,2.92,4592089.0,30867114.0
2016-01-29,2.87,3.05,3.0,2.87,6099088.0,40858864.0
2016-01-28,2.99,3.01,2.88,2.85,5273935.0,34850400.0
2016-01-27,3.09,3.09,3.01,2.82,8642226.0,57423392.0
2016-01-26,3.28,3.28,3.0,2.99,8948926.0,63212016.0
2016-01-25,3.34,3.36,3.32,3.26,6302991.0,46927824.0
2016-01-22,3.29,3.32,3.27,3.15,7142918.0,51912912.0
2016-01-21,3.38,3.47,3.21,3.21,12030204.0,90453400.0
2016-01-20,3.47,3.54,3.42,3.41,21281228.0,165531376.0
2016-01-19,3.29,3.6,3.58,3.24,29423472.0,232630928.0
2016-01-18,3.11,3.31,3.27,3.05,8865587.0,64581740.0
2016-01-15,3.25,3.3,3.15,3.12,7431516.0,53666048.0
2016-01-14,3.07,3.32,3.3,3.03,9120091.0,65452776.0
2016-01-13,3.36,3.4,3.21,3.2,6025804.0,44992140.0
2016-01-12,3.29,3.36,3.33,3.2,6179153.0,45741944.0
2016-01-11,3.65,3.65,3.28,3.27,9488320.0,73793464.0
2016-01-08,3.66,3.79,3.64,3.29,10179717.0,82935536.0
2016-01-07,4.0,4.0,3.62,3.62,2946658.0,24777362.0
2016-01-06,3.96,4.04,4.02,3.96,8402827.0,75495048.0
2016-01-05,3.91,4.14,3.93,3.71,13849241.0,122549584.0
2016-01-04,4.59,4.59,4.12,4.12,9891518.0,95904352.0
2015-12-31,4.71,4.73,4.58,4.55,10180932.0,105749656.0
2015-12-30,4.56,4.67,4.67,4.54,13644004.0,141724816.0
2015-12-29,4.51,4.58,4.56,4.46,7849116.0,79622224.0
2015-12-28,4.63,4.69,4.54,4.54,12516816.0,129845192.0
2015-12-25,4.63,4.67,4.6,4.55,10025248.0,103980944.0
2015-12-24,4.58,4.58,4.56,4.44,9414890.0,95363016.0
2015-12-23,4.72,4.73,4.59,4.56,11814079.0,123069440.0
2015-12-22,4.63,4.71,4.7,4.6,14127849.0,147559456.0
2015-12-21,4.61,4.65,4.63,4.54,11162315.0,115338080.0
2015-12-18,4.7,4.7,4.6,4.56,14716777.0,152567392.0
2015-12-17,4.53,4.74,4.71,4.53,22057812.0,229264112.0
2015-12-16,4.53,4.62,4.53,4.48,13602118.0,138876608.0
2015-12-15,4.45,4.58,4.5,4.45,9883539.0,100196968.0
2015-12-14,4.27,4.46,4.45,4.23,7648897.0,74934320.0
2015-12-11,4.41,4.43,4.31,4.3,10103786.0,98726424.0
2015-12-10,4.61,4.63,4.45,4.44,13682930.0,138580528.0
2015-12-09,4.42,4.65,4.59,4.37,22670396.0,230711296.0
2015-12-08,4.56,4.56,4.43,4.41,12160284.0,121880192.0
2015-12-07,4.57,4.61,4.58,4.46,11229400.0,114254528.0
2015-12-04,4.47,4.63,4.55,4.47,17677176.0,180960656.0
2015-12-03,4.4,4.54,4.49,4.38,12834518.0,129128080.0
2015-12-02,4.47,4.48,4.4,4.21,11132829.0,109373136.0
2015-12-01,4.41,4.54,4.49,4.36,14364192.0,144100352.0
2015-11-30,4.47,4.54,4.39,4.1,21506078.0,209635360.0
2015-11-27,4.91,4.96,4.47,4.47,29451504.0,310994144.0
2015-11-26,5.1,5.16,4.96,4.93,24543374.0,276919840.0
2015-11-25,5.05,5.12,5.1,4.97,27577072.0,312979616.0
2015-11-24,4.94,5.11,5.05,4.94,23028402.0,260776736.0
2015-11-23,5.06,5.09,4.94,4.9,26081324.0,292019968.0
2015-11-20,5.11,5.14,5.05,4.98,29518584.0,334639456.0
2015-11-19,5.02,5.2,5.15,4.96,29800550.0,338381280.0
2015-11-18,5.16,5.26,4.95,4.94,41241960.0,471057888.0
2015-11-17,5.68,5.77,5.25,5.23,90565680.0,1106095488.0
2015-11-16,4.78,5.37,5.37,4.71,45870992.0,529144928.0
2015-11-13,4.81,4.95,4.88,4.71,38241628.0,418833408.0
2015-11-12,4.99,5.03,4.83,4.73,37545008.0,409645024.0
2015-11-11,4.85,4.99,4.96,4.78,42340528.0,463746016.0
2015-11-10,4.78,5.05,4.92,4.72,61949560.0,683790016.0
2015-11-09,4.72,4.84,4.78,4.55,44979296.0,475575680.0
2015-11-06,4.72,4.89,4.72,4.67,39854132.0,426203712.0
2015-11-05,4.71,4.8,4.66,4.59,53445104.0,562000576.0
2015-11-04,4.56,4.84,4.81,4.52,54894168.0,580115904.0
2015-11-03,4.52,4.71,4.55,4.45,45215100.0,464132608.0
2015-11-02,4.61,4.85,4.51,4.51,67763984.0,707059776.0
2015-10-30,5.7,5.7,5.02,4.96,124559032.0,1490423936.0
2015-10-29,4.9,5.22,5.22,4.89,26004000.0,297199456.0
2015-10-28,4.7,4.74,4.74,4.51,41317684.0,432430912.0
2015-10-27,3.96,4.31,4.31,3.92,42177856.0,396909120.0
2015-10-26,3.87,3.94,3.92,3.79,24486984.0,213525344.0
2015-10-23,3.66,3.85,3.8,3.62,21583196.0,181288320.0
2015-10-22,3.51,3.65,3.64,3.48,16512883.0,133049168.0
2015-10-21,3.94,3.96,3.52,3.52,30650588.0,255478112.0
2015-10-20,3.75,3.92,3.91,3.73,25530160.0,220811712.0
2015-10-19,3.87,3.91,3.74,3.69,22314096.0,190292112.0
2015-10-16,3.76,3.87,3.85,3.7,27549506.0,235699152.0
2015-10-15,3.53,3.78,3.75,3.52,20277656.0,167063392.0
2015-10-14,3.64,3.69,3.58,3.57,16367280.0,133342040.0
2015-10-13,3.67,3.79,3.7,3.58,27869932.0,229297200.0
2015-10-12,3.37,3.69,3.69,3.37,25253448.0,200641584.0
2015-10-09,3.28,3.37,3.35,3.23,14501587.0,108253592.0
2015-10-08,3.24,3.29,3.26,3.17,9974799.0,72800664.0
2015-09-30,3.14,3.15,3.11,3.08,3969477.0,27769142.0
2015-09-29,3.14,3.16,3.09,3.08,5682610.0,39752704.0
2015-09-28,3.14,3.21,3.2,3.05,6372183.0,45028716.0
2015-09-25,3.22,3.27,3.11,3.07,9202562.0,65320832.0
2015-09-24,3.18,3.27,3.27,3.18,10593098.0,77143392.0
2015-09-23,3.23,3.27,3.19,3.13,13471577.0,96887016.0
2015-09-22,3.26,3.5,3.32,3.25,17599724.0,132459696.0
2015-09-21,3.09,3.26,3.25,3.03,12084324.0,86866904.0
2015-09-18,3.05,3.17,3.14,3.02,9958051.0,69427336.0
2015-09-17,3.08,3.25,3.04,2.99,13277665.0,93017240.0
2015-09-16,2.86,3.09,3.09,2.84,9685525.0,64415380.0
2015-09-15,2.99,3.09,2.81,2.8,11322311.0,74531640.0
2015-09-14,3.49,3.51,3.11,3.11,12997721.0,95201368.0
2015-09-11,3.42,3.52,3.46,3.38,9994436.0,77604952.0
2015-09-10,3.41,3.66,3.48,3.37,15295158.0,119707288.0
2015-09-09,3.37,3.51,3.48,3.34,15647296.0,121257152.0
2015-09-08,3.14,3.41,3.36,3.1,9849623.0,71501936.0
2015-09-07,3.11,3.25,3.16,3.11,10125693.0,72434256.0
2015-09-02,3.1,3.3,3.04,2.94,10867558.0,75677240.0
2015-09-01,3.43,3.5,3.21,3.2,17783168.0,135187008.0
2015-08-31,3.55,3.55,3.37,3.34,11056163.0,84807512.0
2015-08-28,3.34,3.56,3.55,3.27,15642338.0,119241504.0
2015-08-27,3.2,3.29,3.27,3.03,11783614.0,84448664.0
2015-08-26,3.33,3.43,3.12,3.07,15929840.0,117414128.0
2015-08-25,3.32,3.5,3.31,3.31,12857339.0,96701104.0
2015-08-24,3.92,3.96,3.68,3.68,13397451.0,112363208.0
2015-08-21,4.27,4.39,4.09,4.04,14103730.0,133206408.0
2015-08-20,4.46,4.61,4.41,4.36,20433072.0,205474880.0
2015-08-19,4.17,4.57,4.5,3.95,23459738.0,223177392.0
2015-08-18,4.84,4.87,4.35,4.35,28076216.0,290076640.0
2015-08-17,4.84,4.87,4.84,4.7,24063726.0,258706800.0
2015-08-14,4.79,5.09,4.91,4.74,39657460.0,437114208.0
2015-08-13,4.58,4.78,4.78,4.54,26061592.0,273852288.0
2015-08-12,4.81,4.81,4.64,4.63,29763424.0,315068416.0
2015-08-11,4.8,4.95,4.84,4.67,54026500.0,586819840.0
2015-08-10,4.21,4.58,4.58,4.17,25284172.0,250656544.0
2015-08-07,4.02,4.2,4.16,4.02,16237560.0,150569056.0
2015-08-06,3.92,4.08,4.0,3.88,11599007.0,104081128.0
2015-08-05,4.12,4.25,4.06,4.01,20794356.0,193815856.0
2015-08-04,3.72,4.09,4.09,3.72,15787349.0,138688096.0
2015-08-03,4.0,4.01,3.72,3.65,12233706.0,104908216.0
2015-07-31,4.05,4.13,4.01,3.92,12898762.0,117008904.0
2015-07-30,4.24,4.38,4.09,4.08,18963784.0,181733488.0
2015-07-29,4.05,4.27,4.27,3.95,19210916.0,175994256.0
2015-07-28,4.01,4.33,3.94,3.92,27095988.0,246447952.0
2015-07-27,4.63,4.93,4.36,4.36,27015324.0,281724096.0
2015-07-24,4.99,5.15,4.84,4.69,45389688.0,507893024.0
2015-07-23,4.8,5.06,4.99,4.63,40629088.0,440938272.0
2015-07-22,4.54,4.76,4.75,4.48,34108196.0,357231328.0
2015-07-21,4.46,4.65,4.56,4.41,22959552.0,234648576.0
2015-07-20,4.5,4.81,4.57,4.36,30543496.0,314288192.0
2015-07-17,4.22,4.58,4.5,4.22,26857552.0,265277328.0
2015-07-16,4.23,4.45,4.22,3.81,29256658.0,274935872.0
2015-07-15,4.54,4.54,4.23,4.23,28109434.0,273580352.0
2015-07-14,4.45,4.7,4.7,4.28,54686972.0,562182720.0
2015-07-13,4.27,4.27,4.27,4.0,38147336.0,362441632.0
2015-07-10,3.74,3.88,3.88,3.61,12606462.0,108557408.0
2015-07-09,3.06,3.53,3.53,3.04,25949892.0,198088592.0
2015-07-08,3.07,3.28,3.21,3.07,42286920.0,297451008.0
2015-07-07,3.48,3.6,3.41,3.41,10789706.0,83448664.0
2015-07-06,4.59,4.59,3.79,3.78,27902958.0,258702336.0
2015-07-03,4.37,4.63,4.2,4.2,21679196.0,209379952.0
2015-07-02,5.19,5.25,4.67,4.67,21140920.0,229507616.0
2015-07-01,5.69,5.86,5.19,5.19,27625896.0,347849504.0
2015-06-30,5.34,5.81,5.77,5.0,32807480.0,397219872.0
2015-06-29,6.26,6.4,5.56,5.56,25332348.0,329760320.0
2015-06-26,6.63,6.63,6.18,6.18,21002220.0,297978208.0
2015-06-25,7.41,7.44,6.86,6.68,24452724.0,391991616.0
2015-06-24,7.44,7.52,7.42,7.17,22197820.0,369143392.0
2015-06-23,7.21,7.39,7.3,6.5,23972058.0,377659040.0
2015-06-19,7.74,7.97,7.21,7.21,24073956.0,407594464.0
2015-06-18,8.39,8.59,8.01,8.01,27837800.0,522741024.0
2015-06-17,7.77,8.53,8.38,7.7,31597060.0,572524096.0
2015-06-16,8.19,8.19,7.77,7.58,33720420.0,603814016.0
2015-06-15,8.87,8.9,8.38,8.37,42235680.0,811869568.0
2015-06-12,9.1,9.17,8.86,8.76,45284984.0,906421440.0
2015-06-11,8.94,9.25,9.09,8.88,51026820.0,1041612288.0
2015-06-10,8.73,9.11,8.87,8.48,40711920.0,810743680.0
2015-06-09,9.36,9.36,8.92,8.77,59240016.0,1194528000.0
